ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR000BCT/	hg19	Homo sapiens IMR-90	RNA-PET		1	1_1	minus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LGR/@@download/ENCFF000LGR.bigWig	ENCFF000LGR	ENCSR000BCT
/experiments/ENCSR000BCT/	hg19	Homo sapiens IMR-90	RNA-PET		2	2_1	minus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LGS/@@download/ENCFF000LGS.bigWig	ENCFF000LGS	ENCSR000BCT
/experiments/ENCSR000BCT/	hg19	Homo sapiens IMR-90	RNA-PET		1	1_1	plus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LGU/@@download/ENCFF000LGU.bigWig	ENCFF000LGU	ENCSR000BCT
/experiments/ENCSR000BCT/	hg19	Homo sapiens IMR-90	RNA-PET		2	2_1	plus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LGV/@@download/ENCFF000LGV.bigWig	ENCFF000LGV	ENCSR000BCT
/experiments/ENCSR000BCU/	hg19	Homo sapiens SK-N-SH cytosolic fraction	RNA-PET		3	3_1	minus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LLQ/@@download/ENCFF000LLQ.bigWig	ENCFF000LLQ	ENCSR000BCU
/experiments/ENCSR000BCU/	hg19	Homo sapiens SK-N-SH cytosolic fraction	RNA-PET		4	4_1	minus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LLR/@@download/ENCFF000LLR.bigWig	ENCFF000LLR	ENCSR000BCU
/experiments/ENCSR000BCU/	hg19	Homo sapiens SK-N-SH cytosolic fraction	RNA-PET		3	3_1	plus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LLS/@@download/ENCFF000LLS.bigWig	ENCFF000LLS	ENCSR000BCU
/experiments/ENCSR000BCU/	hg19	Homo sapiens SK-N-SH cytosolic fraction	RNA-PET		4	4_1	plus strand signal of all reads	bigWig	Yijun Ruan, JAX	/files/ENCFF000LLT/@@download/ENCFF000LLT.bigWig	ENCFF000LLT	ENCSR000BCU
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000GGS/@@download/ENCFF000GGS.bigWig	ENCFF000GGS	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000GGT/@@download/ENCFF000GGT.bigWig	ENCFF000GGT	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000GGY/@@download/ENCFF000GGY.bigWig	ENCFF000GGY	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000GHC/@@download/ENCFF000GHC.bigWig	ENCFF000GHC	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF958RVQ/@@download/ENCFF958RVQ.bigWig	ENCFF958RVQ	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF750AWD/@@download/ENCFF750AWD.bigWig	ENCFF750AWD	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF221KVU/@@download/ENCFF221KVU.bigWig	ENCFF221KVU	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF307GOI/@@download/ENCFF307GOI.bigWig	ENCFF307GOI	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF861NTH/@@download/ENCFF861NTH.bigWig	ENCFF861NTH	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF684BXB/@@download/ENCFF684BXB.bigWig	ENCFF684BXB	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF503UWU/@@download/ENCFF503UWU.bigWig	ENCFF503UWU	ENCSR000CUD
/experiments/ENCSR000CUD/	hg19	Homo sapiens mesenchymal stem cell of the bone marrow female adult (60 years) and male adult (57 years)	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF263OBV/@@download/ENCFF263OBV.bigWig	ENCFF263OBV	ENCSR000CUD
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		1	1_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FVY/@@download/ENCFF000FVY.bigWig	ENCFF000FVY	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		2	2_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FVZ/@@download/ENCFF000FVZ.bigWig	ENCFF000FVZ	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		1	1_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FWA/@@download/ENCFF000FWA.bigWig	ENCFF000FWA	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		2	2_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FWB/@@download/ENCFF000FWB.bigWig	ENCFF000FWB	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF125IDU/@@download/ENCFF125IDU.bigWig	ENCFF125IDU	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF315PXI/@@download/ENCFF315PXI.bigWig	ENCFF315PXI	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF725RHK/@@download/ENCFF725RHK.bigWig	ENCFF725RHK	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF410DDY/@@download/ENCFF410DDY.bigWig	ENCFF410DDY	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF704ALY/@@download/ENCFF704ALY.bigWig	ENCFF704ALY	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF430GRX/@@download/ENCFF430GRX.bigWig	ENCFF430GRX	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF666PRR/@@download/ENCFF666PRR.bigWig	ENCFF666PRR	ENCSR000CQU
/experiments/ENCSR000CQU/	hg19	Homo sapiens HepG2 cytosolic fraction	polyA minus RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF514HCL/@@download/ENCFF514HCL.bigWig	ENCFF514HCL	ENCSR000CQU
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FJH/@@download/ENCFF000FJH.bigWig	ENCFF000FJH	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FJI/@@download/ENCFF000FJI.bigWig	ENCFF000FJI	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FJW/@@download/ENCFF000FJW.bigWig	ENCFF000FJW	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000FKA/@@download/ENCFF000FKA.bigWig	ENCFF000FKA	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF882WHN/@@download/ENCFF882WHN.bigWig	ENCFF882WHN	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF097MDK/@@download/ENCFF097MDK.bigWig	ENCFF097MDK	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF155DAG/@@download/ENCFF155DAG.bigWig	ENCFF155DAG	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF673ALH/@@download/ENCFF673ALH.bigWig	ENCFF673ALH	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF865BJV/@@download/ENCFF865BJV.bigWig	ENCFF865BJV	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF488TOC/@@download/ENCFF488TOC.bigWig	ENCFF488TOC	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF816PGB/@@download/ENCFF816PGB.bigWig	ENCFF816PGB	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF712CAF/@@download/ENCFF712CAF.bigWig	ENCFF712CAF	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF641ELW/@@download/ENCFF641ELW.bigWig	ENCFF641ELW	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF265DYC/@@download/ENCFF265DYC.bigWig	ENCFF265DYC	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF101AIB/@@download/ENCFF101AIB.bigWig	ENCFF101AIB	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF922TMU/@@download/ENCFF922TMU.bigWig	ENCFF922TMU	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF011XGH/@@download/ENCFF011XGH.bigWig	ENCFF011XGH	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF394VTX/@@download/ENCFF394VTX.bigWig	ENCFF394VTX	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF691CPQ/@@download/ENCFF691CPQ.bigWig	ENCFF691CPQ	ENCSR000CUJ
/experiments/ENCSR000CUJ/	hg19	Homo sapiens fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF288GGS/@@download/ENCFF288GGS.bigWig	ENCFF288GGS	ENCSR000CUJ
/experiments/ENCSR000ELB/	hg19	Homo sapiens D341Med	DNase-seq				base overlap signal	bigWig	Gregory Crawford, Duke	/files/ENCFF000TAA/@@download/ENCFF000TAA.bigWig	ENCFF000TAA	ENCSR000ELB
/experiments/ENCSR000ELB/	hg19	Homo sapiens D341Med	DNase-seq				signal	bigWig	Gregory Crawford, Duke	/files/ENCFF000TAF/@@download/ENCFF000TAF.bigWig	ENCFF000TAF	ENCSR000ELB
/experiments/ENCSR000ELB/	hg19	Homo sapiens D341Med	DNase-seq		1	1_1,1_2	read-depth normalized signal	bigWig	Gregory Crawford, Duke	/files/ENCFF023JDD/@@download/ENCFF023JDD.bigWig	ENCFF023JDD	ENCSR000ELB
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		1	1_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000IZJ/@@download/ENCFF000IZJ.bigWig	ENCFF000IZJ	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		2	2_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000IZK/@@download/ENCFF000IZK.bigWig	ENCFF000IZK	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		1	1_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000IZN/@@download/ENCFF000IZN.bigWig	ENCFF000IZN	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		2	2_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000IZO/@@download/ENCFF000IZO.bigWig	ENCFF000IZO	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF486ZDS/@@download/ENCFF486ZDS.bigWig	ENCFF486ZDS	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF031YAT/@@download/ENCFF031YAT.bigWig	ENCFF031YAT	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF587SEI/@@download/ENCFF587SEI.bigWig	ENCFF587SEI	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF442ILN/@@download/ENCFF442ILN.bigWig	ENCFF442ILN	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF244ZVV/@@download/ENCFF244ZVV.bigWig	ENCFF244ZVV	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF857PHW/@@download/ENCFF857PHW.bigWig	ENCFF857PHW	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF171UGS/@@download/ENCFF171UGS.bigWig	ENCFF171UGS	ENCSR000CQV
/experiments/ENCSR000CQV/	hg19	Homo sapiens GM12878 cytosolic fraction	small RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF760CYM/@@download/ENCFF760CYM.bigWig	ENCFF760CYM	ENCSR000CQV
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		1	1_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000JQH/@@download/ENCFF000JQH.bigWig	ENCFF000JQH	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		2	2_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000JQI/@@download/ENCFF000JQI.bigWig	ENCFF000JQI	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		1	1_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000JQJ/@@download/ENCFF000JQJ.bigWig	ENCFF000JQJ	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		2	2_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000JQK/@@download/ENCFF000JQK.bigWig	ENCFF000JQK	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		1	1_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF863SVP/@@download/ENCFF863SVP.bigWig	ENCFF863SVP	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		1	1_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF952GFV/@@download/ENCFF952GFV.bigWig	ENCFF952GFV	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		2	2_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF781WWG/@@download/ENCFF781WWG.bigWig	ENCFF781WWG	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		1	1_1	minus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF978QEI/@@download/ENCFF978QEI.bigWig	ENCFF978QEI	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		1	1_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF390ECT/@@download/ENCFF390ECT.bigWig	ENCFF390ECT	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		2	2_1	plus strand signal of unique reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF112WKK/@@download/ENCFF112WKK.bigWig	ENCFF112WKK	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		2	2_1	minus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF595THG/@@download/ENCFF595THG.bigWig	ENCFF595THG	ENCSR000CSC
/experiments/ENCSR000CSC/	hg19	Homo sapiens IMR-90 cytosolic fraction	small RNA-seq		2	2_1	plus strand signal of all reads	bigWig	Thomas Gingeras, CSHL	/files/ENCFF662WEZ/@@download/ENCFF662WEZ.bigWig	ENCFF662WEZ	ENCSR000CSC
/experiments/ENCSR000END/	hg19	Homo sapiens amniotic epithelial cell	DNase-seq		1	1_1	raw signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF001AVF/@@download/ENCFF001AVF.bigWig	ENCFF001AVF	ENCSR000END
/experiments/ENCSR000END/	hg19	Homo sapiens amniotic epithelial cell	DNase-seq		1	1_1	signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF001AVH/@@download/ENCFF001AVH.bigWig	ENCFF001AVH	ENCSR000END
/experiments/ENCSR000END/	hg19	Homo sapiens amniotic epithelial cell	DNase-seq		2	2_1	raw signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF001CXL/@@download/ENCFF001CXL.bigWig	ENCFF001CXL	ENCSR000END
/experiments/ENCSR000END/	hg19	Homo sapiens amniotic epithelial cell	DNase-seq		1	1_1	raw signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF001CXJ/@@download/ENCFF001CXJ.bigWig	ENCFF001CXJ	ENCSR000END
/experiments/ENCSR000END/	hg19	Homo sapiens amniotic epithelial cell	DNase-seq		2	2_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF867GQA/@@download/ENCFF867GQA.bigWig	ENCFF867GQA	ENCSR000END
/experiments/ENCSR000END/	hg19	Homo sapiens amniotic epithelial cell	DNase-seq		1	1_1	read-depth normalized signal	bigWig	John Stamatoyannopoulos, UW	/files/ENCFF994FMY/@@download/ENCFF994FMY.bigWig	ENCFF994FMY	ENCSR000END
/experiments/ENCSR000EIJ/	hg19	Homo sapiens cerebellum tissue male adult (27 years) and male adult (35 years)	DNase-seq				base overlap signal	bigWig	Gregory Crawford, Duke	/files/ENCFF000SFK/@@download/ENCFF000SFK.bigWig	ENCFF000SFK	ENCSR000EIJ
/experiments/ENCSR000EIJ/	hg19	Homo sapiens cerebellum tissue male adult (27 years) and male adult (35 years)	DNase-seq				signal	bigWig	Gregory Crawford, Duke	/files/ENCFF000SFO/@@download/ENCFF000SFO.bigWig	ENCFF000SFO	ENCSR000EIJ
/experiments/ENCSR000EIJ/	hg19	Homo sapiens cerebellum tissue male adult (27 years) and male adult (35 years)	DNase-seq		1	1_1	read-depth normalized signal	bigWig	Gregory Crawford, Duke	/files/ENCFF481DEX/@@download/ENCFF481DEX.bigWig	ENCFF481DEX	ENCSR000EIJ
/experiments/ENCSR000EIJ/	hg19	Homo sapiens cerebellum tissue male adult (27 years) and male adult (35 years)	DNase-seq		2	2_1	read-depth normalized signal	bigWig	Gregory Crawford, Duke	/files/ENCFF513TVG/@@download/ENCFF513TVG.bigWig	ENCFF513TVG	ENCSR000EIJ
/experiments/ENCSR000EKU/	hg19	Homo sapiens LNCaP clone FGC treated with 1 nM 17β-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours	DNase-seq				base overlap signal	bigWig	Gregory Crawford, Duke	/files/ENCFF000SXQ/@@download/ENCFF000SXQ.bigWig	ENCFF000SXQ	ENCSR000EKU
/experiments/ENCSR000EKU/	hg19	Homo sapiens LNCaP clone FGC treated with 1 nM 17β-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours	DNase-seq				signal	bigWig	Gregory Crawford, Duke	/files/ENCFF000SXV/@@download/ENCFF000SXV.bigWig	ENCFF000SXV	ENCSR000EKU
/experiments/ENCSR000EKU/	hg19	Homo sapiens LNCaP clone FGC treated with 1 nM 17β-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours	DNase-seq		1	1_1,1_2	read-depth normalized signal	bigWig	Gregory Crawford, Duke	/files/ENCFF975MZT/@@download/ENCFF975MZT.bigWig	ENCFF975MZT	ENCSR000EKU
/experiments/ENCSR000CRU/	hg19	Homo sapiens keratinocyte nuclear fraction female	small RNA-seq		3	3_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000KCN/@@download/ENCFF000KCN.bigWig	ENCFF000KCN	ENCSR000CRU
/experiments/ENCSR000CRU/	hg19	Homo sapiens keratinocyte nuclear fraction female	small RNA-seq		4	4_1	minus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000KCP/@@download/ENCFF000KCP.bigWig	ENCFF000KCP	ENCSR000CRU
/experiments/ENCSR000CRU/	hg19	Homo sapiens keratinocyte nuclear fraction female	small RNA-seq		3	3_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000KCQ/@@download/ENCFF000KCQ.bigWig	ENCFF000KCQ	ENCSR000CRU
/experiments/ENCSR000CRU/	hg19	Homo sapiens keratinocyte nuclear fraction female	small RNA-seq		4	4_1	plus strand signal	bigWig	Thomas Gingeras, CSHL	/files/ENCFF000KCR/@@download/ENCFF000KCR.bigWig	ENCFF000KCR	ENCSR000CRU
